instance_number,run_number,prior,ratio_rmax_bound_use,ratio_lip_bound_use,n_time_steps,n_time_steps_cv,avg_ts_l2,avg_ts_l5,avg_ts_l10,avg_ts_l50,discounted_return,total_return
76,1,0.8,1.0,0.0,22000,19688,18676.0,16111.2,14757.1,12236.08,2.005453367460145e-260,1120.0540247064519
76,0,1.0,1.0,0.0,22000,20535,20045.5,18548.6,16888.6,13015.16,1.5635968837181735e-175,1012.867677655185
76,2,0.5,0.8802360235424498,0.11976397645755021,22000,21977,21102.5,16582.6,14979.5,12255.84,4.8032845608760074e-132,1149.4941806221252
76,3,0.2,0.1837494804821126,0.8162505195178874,22000,20359,19908.5,19389.6,18735.2,13038.7,0.0014587996307159577,1604.4549884425778
79,4,0.0,0.0,1.0,22000,21328,21277.0,20519.4,19688.5,12195.5,0.0030174937716355437,2617.2107544088194
77,0,1.0,1.0,0.0,22000,18588,18428.5,16986.6,15925.0,13512.44,3.3905662661679027e-121,1020.9375182829484
80,4,0.0,0.0,1.0,22000,20509,20497.5,20326.2,19711.5,8918.78,0.024976207747815622,2826.8713750551597
77,1,0.8,1.0,0.0,22000,21349,20898.0,20258.0,18757.9,13735.96,1.7270405e-316,1108.8209243769406
77,3,0.2,0.237133063449763,0.762866936550237,22000,21778,21756.0,20959.6,19495.2,12867.2,2.94369414869189e-06,1359.5802640532534
77,2,0.5,0.8872300326249022,0.1127699673750978,22000,17532,16581.0,15145.8,14261.4,12241.62,5.10820402257606e-206,1162.0978456460623
78,3,0.2,0.18992917745381077,0.8100708225461892,22000,21778,21584.5,20191.4,18497.7,10769.08,0.11503344241779324,1630.0575731378237
78,0,1.0,1.0,0.0,22000,21735,21575.0,19701.6,17488.5,13248.68,5.066692115415261e-53,1040.3361005853187
81,4,0.0,0.0,1.0,22000,21111,21013.5,20840.0,20329.6,15692.4,0.32154513424422326,2699.6477811755944
78,2,0.5,0.8609783484970632,0.13902165150293677,22000,21371,20964.0,19884.2,18824.0,14034.64,1.351041514517063e-109,1043.99512898611
78,1,0.8,1.0,0.0,22000,20745,20712.0,19673.6,17963.8,14072.7,3.1211478366745204e-87,1009.1752249579652
79,0,1.0,1.0,0.0,22000,20997,20810.5,18991.4,16705.5,13142.64,1.1194326006844332e-69,1061.1410377334491
79,1,0.8,1.0,0.0,22000,20646,20530.5,20184.0,18638.3,13785.54,2.0958412337248097e-35,1075.6506053805724
79,3,0.2,0.2088142707240294,0.7911857292759706,22000,20137,20110.5,19287.0,18138.6,11583.12,0.0010752895240448165,1534.3897575329738
82,4,0.0,0.0,1.0,22000,21321,20855.0,20356.0,18903.2,7053.06,0.03077782739309897,2676.68850498872
79,2,0.5,0.8623293583246134,0.13767064167538662,22000,21944,21223.5,18204.0,16351.5,13263.8,1.2053057134703546e-149,976.1177895747421
80,1,0.8,1.0,0.0,22000,21811,20392.0,18784.2,16231.4,12707.54,2.7791624538329146e-62,1097.2668438575495
80,3,0.2,0.2228705339667157,0.7771294660332844,22000,21393,21036.0,20086.2,18098.5,11555.98,0.0006470113910940755,1486.2115157278797
80,0,1.0,1.0,0.0,22000,21647,21503.5,20185.8,18902.1,14629.22,0.10352951938727571,1023.2782814012035
80,2,0.5,0.8640843155911995,0.1359156844088005,22000,21195,21047.0,20178.8,17951.3,13456.08,6.495257447342625e-232,1076.5639126117378
83,4,0.0,0.0,1.0,22000,20874,20873.5,20486.6,19254.8,11189.7,0.9829170489786103,2629.5133724362086
81,0,1.0,1.0,0.0,22000,21614,21603.0,21490.2,20434.2,14251.4,0.0,1000.2370605002784
81,1,0.8,1.0,0.0,22000,20206,19705.0,19019.4,17903.9,13696.08,1.9498943081910044e-235,1049.6420659419061
81,3,0.2,0.20571712003341514,0.7942828799665849,22000,21261,20761.0,20059.8,19142.3,13149.52,0.006864215747976,1541.186126814588
84,4,0.0,0.0,1.0,22000,20608,20607.0,19748.8,18794.2,8967.52,1.030569936223318,2815.2649951238836
81,2,0.5,0.9116978321376769,0.0883021678623231,22000,20865,20618.0,16905.8,15465.6,12840.7,6.49439048221532e-181,967.8887182449354
82,0,1.0,1.0,0.0,22000,21724,21476.5,20907.4,18829.3,13284.6,3.609911486817456e-196,1145.5753676201614
82,1,0.8,1.0,0.0,22000,20657,20646.0,18408.4,15924.6,12475.14,6.732304452191792e-110,1117.9238682460666
82,3,0.2,0.21721752341332354,0.7827824765866764,22000,21150,21062.0,20475.4,19226.2,13019.9,0.0003813626591280121,1390.0761644863026
82,2,0.5,0.8993165648441729,0.10068343515582709,22000,21162,20909.5,20156.8,18477.2,13524.2,1.0249494154905512e-127,1050.2779028428017
85,4,0.0,0.0,1.0,22000,21071,21034.0,20621.6,19623.2,13253.54,0.9915673214253315,2497.9737509959577
83,1,0.8,1.0,0.0,22000,20535,20529.5,18401.4,16649.4,12613.26,1.6316211602987644e-222,1204.5924335744828
83,0,1.0,1.0,0.0,22000,21823,21245.0,19365.0,17873.3,13247.72,6.62476251367177e-189,1125.6986475048795
83,2,0.5,0.8611169473041791,0.13888305269582096,22000,18137,17449.5,16091.4,14490.7,11882.98,0.0001098568928538493,1198.7288397179502
86,4,0.0,0.0,1.0,22000,21986,21985.0,21513.8,21090.7,16597.94,0.2718546491166448,2637.775054376423
83,3,0.2,0.20628205195500524,0.7937179480449947,22000,21788,20210.0,17756.0,16147.2,11254.02,0.011563687082759564,1404.9236553565404
84,0,1.0,1.0,0.0,22000,21712,21696.0,21050.4,19258.5,14155.02,0.3665676071887774,1057.8576214007899
84,1,0.8,1.0,0.0,22000,21624,19517.5,16693.8,15611.5,13355.06,1.679367450108185e-45,998.645170742926
84,3,0.2,0.20959109398415757,0.7904089060158425,22000,21920,21448.0,20585.2,19013.6,11809.14,1.980267373634009e-05,1554.4930306473132
84,2,0.5,0.8627412376766369,0.13725876232336306,22000,21382,20964.0,19413.4,17850.3,13065.34,7.729419503723574e-101,1183.1124723708879
87,4,0.0,0.0,1.0,22000,21083,21082.5,20391.0,17934.3,7388.56,0.8035110950171023,2788.328428117229
85,1,0.8,1.0,0.0,22000,21757,21756.5,16747.4,14898.1,12099.28,3.2880820940334076e-123,1109.8867393779524
85,0,1.0,1.0,0.0,22000,20139,19677.5,19129.6,18344.2,13595.52,1.8387368479135738e-197,1138.1782304315782
85,3,0.2,0.19064267123933828,0.8093573287606617,22000,21281,20941.5,19896.8,17217.0,10178.32,0.702087773937046,1651.151142482327
88,4,0.0,0.0,1.0,22000,21842,20792.5,19032.8,17316.4,9159.54,0.9447902069425889,2661.4384896827155
85,2,0.5,0.8693025756790405,0.13069742432095954,22000,21702,21553.0,20498.2,17688.9,13493.44,7.628446664943295e-146,993.7613840238097
86,0,1.0,1.0,0.0,22000,20987,20530.5,19866.6,18228.6,14193.38,8.66792543150372e-96,1006.2202942906874
86,1,0.8,1.0,0.0,22000,21261,21201.0,20423.4,17807.8,13721.5,5.354997559900352e-196,997.4912231017835
86,3,0.2,0.2092070538655101,0.7907929461344899,22000,21458,21387.5,20581.8,18447.9,12197.32,0.003555079210771451,1443.6989729946288
86,2,0.5,0.8752718440433778,0.12472815595662225,22000,21767,21679.0,20962.0,18850.1,13532.82,3.900667831350443e-160,1063.9635799756695
89,4,0.0,0.0,1.0,22000,21470,21194.0,20091.6,19007.6,10124.32,0.8239525539329061,2718.6891002239986
87,0,1.0,1.0,0.0,22000,20898,19468.0,18295.4,16500.6,13240.02,2.935775804424403e-206,1004.5807001316679
87,1,0.8,1.0,0.0,22000,20514,18473.5,16329.0,15374.4,12991.88,8.480508573553256e-15,910.9011601614579
90,4,0.0,0.0,1.0,22000,20518,20003.0,19580.0,19032.1,10293.8,1.0132624275556983,2704.464107914399
87,2,0.5,0.8523887359486121,0.14761126405138794,22000,20205,18654.5,17266.4,16003.7,13465.58,3.838051416348287e-208,1015.0141044594777
87,3,0.2,0.20660441038124444,0.7933955896187556,22000,21842,21545.0,20641.4,19040.4,11845.68,0.7066207415488374,1593.7084517121177
88,0,1.0,1.0,0.0,22000,17180,16366.5,15579.2,14361.5,11959.32,2.1399171701792664e-151,1152.8453809378148
88,3,0.2,0.20945913810870082,0.7905408618912991,22000,21722,21342.0,19406.0,18021.3,11550.22,0.06868243442480214,1558.0868798366184
88,1,0.8,1.0,0.0,22000,21481,20991.5,20055.6,18678.3,13646.16,1.87944523395e-313,1061.2492897183708
91,4,0.0,0.0,1.0,22000,20689,20686.0,20178.8,19080.4,9826.7,0.24922223760513548,2776.625386448547
88,2,0.5,0.8868675411535208,0.11313245884647916,22000,19634,19265.0,16892.6,15202.8,12583.62,0.036098511324258016,1070.8180449158538
89,0,1.0,1.0,0.0,22000,15949,15855.5,15183.4,14609.0,12761.3,5.503484753361034e-93,1093.0557239596267
