instance_number,run_number,n_time_steps,n_time_steps_cv,avg_ts_l2,avg_ts_l5,avg_ts_l10,avg_ts_l50,discounted_return,total_return
57,0,22000,19314,19177.0,17684.6,16161.1,13321.2,1.748067014908545e-191,1004.6854302638626
57,1,22000,21900,21680.0,20384.2,18868.1,14202.32,1.1904607795299842e-116,980.1388592457527
57,3,22000,18699,18688.0,18366.8,17402.1,14097.76,5.308844947917657e-201,971.4821272026561
57,2,22000,20855,20657.0,20166.4,18146.7,12984.06,2.1379612308108864e-229,1105.0438608923193
60,4,22000,21349,20881.5,20033.4,17747.6,13293.24,7.662055023804973e-104,1053.5295825694068
58,0,22000,21184,20859.5,19021.6,16792.3,13324.98,1.0346130047344894e-81,1073.7922909301842
58,3,22000,21933,21823.0,21178.4,19648.3,14498.82,1.7167856720094243e-48,1050.383589903622
58,1,22000,21184,20981.0,19816.2,17883.3,12960.06,3.929103653522403e-266,1187.4512328367814
61,4,22000,21393,21190.0,18375.2,15978.5,12204.54,7.505587782086009e-174,1149.5080204957694
58,2,22000,18973,18676.0,18066.6,17162.6,13532.44,2.769111371916229e-61,1071.858515865398
59,0,22000,16312,15586.0,15108.6,14740.7,12949.38,0.6952903637194877,973.4645237502847
59,1,22000,21921,21844.0,20422.8,18379.1,13764.36,1.6615094502122415e-20,1023.0867027056579
59,3,22000,20745,20464.5,19935.4,18988.0,13811.64,8.295573845995893e-243,1034.728151630862
59,2,22000,21822,21734.0,21208.2,20211.7,14538.48,9.568507033518312e-14,1020.8575025057736
62,4,22000,18017,17929.0,16454.8,15422.9,13212.84,3.118091783268736e-283,1012.3258492519718
60,0,22000,17940,15976.0,14767.0,14207.3,12482.3,5.182432292421597e-205,1104.7039292055626
60,1,22000,17136,17097.5,16982.2,16026.5,13150.76,1.4404487398524277e-55,1055.0675648353658
60,2,22000,20800,20695.5,19378.6,17643.6,13222.44,1.7630644833347112e-15,1099.7670422222482
60,3,22000,20700,20650.5,18225.2,15917.6,12613.88,2.7809621862565034e-213,1040.3234253301282
63,4,22000,19414,19293.0,18639.6,16610.0,13692.84,1.8387368479135738e-197,1001.4655850631787
61,3,22000,21250,21195.0,20022.8,17073.9,13346.5,8.530977819960834e-97,1022.733811608441
64,4,22000,21383,21157.0,20795.2,19697.1,14246.56,5.269970936052137e-277,1063.3961567542572
61,0,22000,20898,19105.5,17834.2,16781.2,13718.8,1.1351358421325644e-226,1031.93545367589
61,1,22000,21735,20596.5,19682.0,18369.7,14079.08,1.0804498982554697e-120,980.262617340271
61,2,22000,18709,18692.5,18603.4,16454.3,12086.7,3.776771989923825e-226,1216.7092476146415
62,1,22000,21977,21581.0,20954.0,18408.6,14371.92,5.3405018730267605e-52,945.001613193358
62,0,22000,19029,18797.5,17185.0,15389.8,12558.54,5.423090651018258e-51,1088.47691616221
62,3,22000,17466,15975.5,15019.6,14397.5,12533.76,1.3848699362870166e-62,992.003834391836
62,2,22000,20998,20112.5,19513.0,18715.5,14693.96,2.1830163677038502e-101,1005.409436422883
63,0,22000,21009,20777.5,19244.2,17965.8,13127.56,1.3198693103468633e-35,1108.9482409421837
63,3,22000,21074,20804.5,19663.8,17486.0,13145.72,2.014777923717442e-40,1071.3076901360444
