instance_number,run_number,prior,ratio_rmax_bound_use,ratio_lip_bound_use,n_time_steps,n_time_steps_cv,avg_ts_l2,avg_ts_l5,avg_ts_l10,avg_ts_l50,discounted_return,total_return
25,3,0.2,0.19675482304842212,0.8032451769515778,22000,15772,15249.5,13970.4,11789.2,8180.78,0.9901573515661912,2533.0
25,1,0.8,0.9636752136752137,0.03632478632478633,22000,21547,21398.5,17677.2,15751.1,12544.06,3.7795443676336526e-271,1668.0
28,4,0.0,0.0,1.0,22000,14309,13594.0,12960.0,11127.9,3272.52,9.93500790052762e-06,3912.0
25,2,0.5,0.7318231039950497,0.2681768960049503,22000,19490,19391.5,17332.0,15692.9,12519.74,6.8172971491080785e-06,1685.0
26,3,0.2,0.19674381428968585,0.8032561857103141,22000,17719,17136.0,14960.2,11970.6,8209.8,0.0009266016897967339,2530.0
26,0,1.0,0.9956791947414056,0.004320805258594382,22000,17752,16718.0,15864.4,14946.0,12585.2,3.662930762010777e-122,1635.0
26,1,0.8,0.96322079127509,0.036779208724910084,22000,17070,16745.5,16366.2,15320.0,12599.74,2.2088779735067987e-306,1652.0
26,2,0.5,0.7322243493057973,0.2677756506942027,22000,19270,19204.0,17655.4,15543.3,12497.04,9.631870317396807e-59,1687.0
29,4,0.0,0.0,1.0,22000,17727,17393.5,15281.8,13258.3,3870.28,9.935007894595443e-06,3912.0
27,3,0.2,0.1967473270859155,0.8032526729140845,22000,17499,17340.0,15941.6,13038.8,8438.1,0.2310082842316255,2527.0
27,0,1.0,0.9957749481559005,0.004225051844099464,22000,21976,21558.0,18480.2,16146.2,12839.16,3.213937299044084e-55,1650.0
27,1,0.8,0.9632672882672882,0.03673271173271173,22000,20436,20106.0,16975.4,15411.2,12659.36,1.60795839020113e-278,1624.0
30,4,0.0,0.0,1.0,22000,11510,9986.0,8836.6,7309.3,2365.76,9.935001682921037e-06,3912.0
27,2,0.5,0.7332202111613876,0.26677978883861236,22000,19744,19727.0,18594.8,16337.5,12735.5,3.866304523871531e-194,1659.0
28,3,0.2,0.1967570141764477,0.8032429858235522,22000,14606,14573.5,13768.0,11774.9,8133.22,0.2310670112704507,2541.0
28,1,0.8,0.9631535011939197,0.036846498806080256,22000,20964,20771.5,19710.2,17237.3,13137.24,2.842621661487678e-63,1632.0
28,0,1.0,0.9957071586030862,0.004292841396913795,22000,21382,20529.5,18073.2,15972.2,12830.08,1.0173236405039695e-281,1645.0
