instance_number,run_number,prior,ratio_rmax_bound_use,ratio_lip_bound_use,n_time_steps,n_time_steps_cv,avg_ts_l2,avg_ts_l5,avg_ts_l10,avg_ts_l50,discounted_return,total_return
6,2,0.5,0.8072185381848436,0.19278146181515649,22000,19270,18852.5,16377.666666666666,14741.125,12539.3125,6.807951549626286e-262,1130.644997193651
8,3,0.2,0.16110327867114707,0.838896721328853,22000,21526,21509.0,19416.0,15833.5,10393.208333333334,0.21736440229831613,1635.5946016711187
6,0,1.0,1.0,0.0,22000,17467,16163.5,14746.333333333334,14492.75,13146.208333333334,1.4392585251923293e-140,1066.3633799584127
7,0,1.0,1.0,0.0,22000,21845,21790.0,19879.666666666668,16540.0,13173.083333333334,1.4960336644088583e-213,1208.025123933696
7,1,0.8,1.0,0.0,22000,19534,19512.0,16014.333333333334,14560.0,12537.833333333334,4.824915678969811e-103,1244.6224468974917
9,3,0.2,0.15039916578835244,0.8496008342116476,22000,19653,19511.5,18178.0,16107.5,10145.895833333334,0.07805657960974746,1819.2635797460907
7,2,0.5,0.8025668769502758,0.19743312304972419,22000,20909,17681.0,14353.333333333334,14144.625,12694.375,4.775206691467061e-138,1179.4844695310999
8,1,0.8,1.0,0.0,22000,20888,17577.0,14134.0,13839.625,12555.520833333334,6.74944745534509e-259,1181.8448537854042
9,2,0.5,0.8355097804862454,0.16449021951375464,22000,21976,21800.0,19673.666666666668,15929.375,12499.583333333334,1.0058817674152304e-09,1245.8681739908207
8,0,1.0,1.0,0.0,22000,21580,21151.0,15691.333333333334,14656.875,12880.479166666666,1.3754006543475845e-257,1173.8671084154355
9,1,0.8,1.0,0.0,22000,13991,13952.5,13796.666666666666,13593.5,12086.6875,2.002499520141653e-194,1244.1739082309132
9,0,1.0,1.0,0.0,22000,20943,18974.0,14280.666666666666,14140.875,12772.458333333334,7.41561450562937e-23,1149.9254572630637
8,2,0.5,0.7398181862024065,0.2601818137975935,22000,16861,15536.0,14126.666666666666,13937.125,12697.479166666666,3.156563570286363e-10,1172.7166994238544
