instance_number,run_number,n_time_steps,n_time_steps_cv,avg_ts_l2,avg_ts_l5,avg_ts_l10,avg_ts_l50,discounted_return,total_return
44,4,5500,3266,2815.0,2511.4,2318.9,1769.06,7.230083370286618e-29,52.0
42,1,5500,4674,3689.5,3019.6,2723.7,2071.84,2.8352474777195853e-90,106.0
42,3,5500,3101,2754.5,2489.4,2335.4,1910.34,6.696060108161442e-34,53.0
42,2,5500,2419,2402.5,2284.8,2166.0,1752.38,5.3192294041539816e-49,41.0
43,0,5500,2430,2342.0,2232.0,2090.1,1720.68,1.2859189389309276e-66,145.0
43,1,5500,4245,4239.5,3747.8,3368.2,2312.3,2.625157078767268e-97,111.0
45,4,5500,3717,3447.5,3043.8,2824.9,2093.16,9.606883811906748e-86,20.0
43,2,5500,2969,2881.0,2577.4,2394.8,1836.2,3.7735370447164124e-72,124.0
43,3,5500,3915,3909.5,3664.2,3278.1,2243.18,1.191087559302403e-71,116.0
46,4,5500,2441,2386.0,2328.8,2233.1,1807.2,1.569841815071985e-53,135.0
44,0,5500,3937,3673.0,3123.0,2631.3,1843.48,4.356055876548088e-64,124.0
44,1,5500,3090,3073.5,2909.6,2674.2,2092.26,1.1029750011020873e-76,129.0
44,3,5500,4344,4118.5,3761.0,3545.4,2632.0,2.6664399247704955e-94,39.0
44,2,5500,3695,3310.0,2986.6,2817.2,2134.28,2.4934417371899484e-99,74.0
45,0,5500,2617,2600.5,2526.8,2381.6,1903.08,3.1089989012077967e-84,41.0
47,4,5500,3816,3079.0,2603.8,2375.0,1810.92,9.3165035459082e-88,11.0
45,1,5500,2749,2655.5,2555.4,2400.2,1870.92,4.161125181617498e-65,99.0
45,3,5500,2859,2765.5,2573.0,2428.9,1838.0,4.633021626726826e-58,120.0
45,2,5500,3398,2958.0,2628.0,2471.7,1899.52,1.2093567230818669e-70,67.0
48,4,5500,3178,3161.5,3032.8,2946.9,2412.62,3.825955039299167e-146,20.0
46,0,5500,3277,3200.0,3074.6,2851.3,2184.26,1.1200320791936194e-75,36.0
46,1,5500,2628,2617.0,2551.0,2437.7,1973.96,1.4099455677411014e-60,118.0
46,2,5500,4058,4041.5,3477.2,3121.9,2522.9,5.445019373068705e-123,49.0
46,3,5500,4729,4360.0,3945.4,3551.6,2104.74,3.5147793441167195e-76,19.0
47,0,5500,3244,3145.0,2909.4,2743.4,2147.8,3.36684675307091e-79,67.0
49,4,5500,3321,3299.0,3147.2,2687.4,1874.26,1.3884733687753443e-61,133.0
47,1,5500,2331,2309.0,2269.4,2217.7,1815.32,3.0147419355818288e-86,125.0
47,3,5500,3035,2639.0,2359.6,2191.1,1713.48,1.1373529383434079e-74,52.0
47,2,5500,2771,2760.0,2504.8,2368.4,1894.86,2.469493240484848e-99,135.0
50,4,5500,5026,4393.5,3587.2,3119.7,2137.78,1.1200320791936194e-75,108.0
48,0,5500,2968,2962.5,2876.0,2733.2,2125.98,1.2280589530014168e-69,62.0
48,1,5500,4377,4179.0,3600.4,2995.4,2061.64,1.8023495564327667e-44,38.0
48,2,5500,3926,3722.5,3391.4,2908.3,2110.74,1.1909393112511465e-71,48.0
48,3,5500,3464,3414.5,3307.8,3141.4,2454.0,1.663725068557958e-67,104.0
49,0,5500,5422,4360.5,3519.0,2950.3,2031.48,1.15494165782261e-73,128.0
51,4,5500,3277,3233.0,2900.8,2610.1,1968.38,5.832251083890816e-43,108.0
49,1,5500,2397,2358.5,2298.0,2218.8,1898.48,3.1567814733231346e-83,106.0
49,3,5500,2309,2221.0,2115.4,2047.2,1735.0,1.325998941228899e-64,148.0
49,2,5500,3145,3095.5,2815.0,2648.9,2139.06,2.9451836354654833e-12,51.0
