instance_number,run_number,prior,ratio_rmax_bound_use,ratio_lip_bound_use,n_time_steps,n_time_steps_cv,avg_ts_l2,avg_ts_l5,avg_ts_l10,avg_ts_l50,discounted_return,total_return
93,0,1.0,1.0,0.0,5500,3068,3057.0,2942.6,2764.4,2167.52,3.973895149330056e-68,34.0
93,1,0.8,1.0,0.0,5500,3354,3288.0,3160.4,3077.9,2390.88,7.2881327789688e-104,24.0
93,2,0.5,0.6662830527212426,0.33371694727875745,5500,3937,3876.5,3428.8,3025.1,2190.0,1.0059512051629743e-82,25.0
96,4,0.0,0.0,1.0,5500,5450,5449.0,4988.8,4751.9,2972.34,0.11290632218155666,258.0
93,3,0.2,0.11440535251012698,0.885594647489873,5500,5069,5052.5,4829.2,4423.5,2304.06,9.97938882337113e-08,192.0
94,0,1.0,1.0,0.0,5500,3827,3728.0,3345.2,3037.2,2193.3,6.394770554127312e-37,65.0
94,1,0.8,1.0,0.0,5500,5125,4921.5,3439.8,2826.0,1943.16,2.3971367638018226e-101,18.0
94,2,0.5,0.6403317071401368,0.35966829285986324,5500,5433,4591.5,3552.0,3010.6,2118.96,1.2093567230818669e-70,84.0
94,3,0.2,0.11584473043604401,0.884155269563956,5500,4210,3951.5,3335.2,2886.9,2006.4,0.3497395567119966,74.0
97,4,0.0,0.0,1.0,5500,4655,4609.0,4547.6,4166.8,2891.88,0.4595061781495149,257.0
95,0,1.0,1.0,0.0,5500,2562,2501.5,2346.4,2222.1,1766.68,5.485005193916734e-47,61.0
95,1,0.8,0.990335273531705,0.009664726468294983,5500,2793,2710.5,2493.8,2354.1,1820.26,3.156781473296469e-83,125.0
98,4,0.0,0.0,1.0,5500,5431,5325.5,5055.4,4525.6,2394.02,0.4619526899171685,247.0
95,2,0.5,0.6494318337145408,0.3505681662854591,5500,5235,4696.0,3954.4,3407.6,2441.44,1.8734477262156374e-117,68.0
95,3,0.2,0.11546101864030114,0.8845389813596989,5500,4783,4717.5,4442.0,3968.1,2216.28,0.00010449567633177854,69.0
96,0,1.0,1.0,0.0,5500,2738,2606.0,2465.2,2356.3,1868.36,4.0977549992004086e-66,70.0
96,1,0.8,1.0,0.0,5500,3970,3546.5,3164.8,2878.8,2098.92,1.8023495564327667e-44,56.0
96,2,0.5,0.6499052357261312,0.35009476427386876,5500,2496,2468.5,2366.2,2245.2,1815.1,3.624329300904861e-74,48.0
96,3,0.2,0.11190376025993323,0.8880962397400668,5500,3904,3876.5,3516.4,3068.8,1873.94,6.904765413297526e-32,124.0
99,4,0.0,0.0,1.0,5500,4949,4948.5,4251.0,3528.2,2002.16,0.011883013957019675,68.0
97,0,1.0,1.0,0.0,5500,3387,3211.0,2837.0,2607.1,2059.74,1.0059512051629743e-82,48.0
97,1,0.8,0.9920478217552758,0.00795217824472421,5500,3134,2886.5,2597.2,2405.8,1782.52,2.2002970898144105e-31,112.0
97,3,0.2,0.11820005705924037,0.8817999429407596,5500,5444,5410.5,5076.2,4569.8,2335.7,0.01077526366430583,165.0
97,2,0.5,0.6408061093072611,0.3591938906927388,5500,3475,3343.0,3193.4,2952.4,2174.44,6.815279912532479e-109,66.0
98,0,1.0,1.0,0.0,5500,2914,2815.0,2597.2,2437.7,1845.46,2.526180947515061e-22,90.0
98,1,0.8,0.998436650353453,0.0015633496465470365,5500,2650,2540.0,2348.6,2194.6,1667.88,3.7373283642316207e-72,106.0
98,2,0.5,0.6346013301176643,0.36539866988233577,5500,2606,2413.5,2181.4,2020.8,1567.34,1.3673281724109562e-62,171.0
98,3,0.2,0.1112850661384114,0.8887149338615886,5500,4541,4349.0,4160.8,3912.3,2393.8,9.97938882337113e-08,99.0
99,1,0.8,0.9875029002188244,0.012497099781175646,5500,4487,4140.5,3426.6,2983.2,2075.36,1.7677946326362008e-121,46.0
99,0,1.0,1.0,0.0,5500,4079,3986.0,3447.2,2994.7,2161.68,7.177141301131803e-105,74.0
99,2,0.5,0.6457469253795939,0.3542530746204061,5500,2551,2457.5,2368.4,2305.7,1798.98,5.23820711533679e-50,72.0
99,3,0.2,0.11958281373993879,0.8804171862600613,5500,5079,4926.0,4721.4,4064.9,2148.08,0.01077526366430583,150.0
