instance_number,run_number,n_time_steps,n_time_steps_cv,avg_ts_l2,avg_ts_l5,avg_ts_l10,avg_ts_l50,discounted_return,total_return
11,1,22000,17477,17394.5,16366.666666666666,15367.125,12479.791666666666,3.186785922306141e-52,1035.2814358590813
11,2,22000,21470,19655.0,14992.0,14791.0,13314.875,4.014263945574111e-188,913.5488209675518
11,3,22000,21174,20206.0,18848.666666666668,18163.625,13886.479166666666,1.0018742894236002e-203,1007.5209740050478
15,4,22000,21701,21558.0,18951.333333333332,15639.25,11596.416666666666,1.0731400657534653e-157,1153.6324696584538
12,3,22000,21393,19704.5,17147.666666666668,15878.625,13153.125,3.7796408209096835e-226,973.3036094371008
12,0,22000,21504,20926.0,17546.666666666668,15397.25,12283.5625,2.693658229926479e-213,1038.3323522492562
12,1,22000,20194,20095.0,17393.0,15310.625,12683.5,9.1740195091437e-59,1022.9012353732886
12,2,22000,21426,20788.0,18335.333333333332,15305.125,12022.9375,1.050034855786534e-06,1075.1731846362934
13,0,22000,21899,21646.5,21023.0,20571.125,15115.75,3.3460783952795104e-06,849.8407916122917
13,1,22000,19656,19573.5,19017.666666666668,17610.75,13506.1875,1.031217034626437e-50,943.9882425525507
13,3,22000,21712,21673.5,21371.333333333332,19865.75,14674.5625,2.5641231319854486e-92,755.558989005513
16,4,22000,21636,21465.5,20532.333333333332,19475.875,15299.479166666666,1.2442675764902482e-114,831.9985758081666
13,2,22000,20371,20123.5,19017.333333333332,18087.75,13573.1875,4.805036151788031e-177,1082.80040732235
14,2,22000,19590,18786.5,16351.666666666666,15196.625,12860.5,4.7698512793325755e-253,950.5987458774431
14,1,22000,20304,20078.5,16421.333333333332,15177.125,12849.083333333334,7.320823309550491e-138,991.8677395636033
14,0,22000,21173,20942.0,18485.666666666668,17525.75,12661.875,2.0774167537472582e-265,1045.8150684420746
14,3,22000,21724,21696.5,21181.0,19914.0,14851.791666666666,5.148077757316878e-199,866.3470849164105
17,4,22000,21294,20821.0,18621.0,17166.375,13747.916666666666,4.1942590498950085e-110,952.7833668429042
15,3,22000,16850,16267.5,15575.0,15376.375,13274.208333333334,9.83313042806176e-130,809.1222895938105
15,0,22000,21955,21828.5,20568.333333333332,19127.375,14335.166666666666,1.7169522616501737e-125,924.8909388613195
15,1,22000,19644,19639.0,19417.666666666668,18609.5,15031.270833333334,8.992298664523225e-94,854.0831263864178
15,2,22000,21965,21421.0,19619.333333333332,17285.0,13940.833333333334,3.2238162768527704e-154,935.455864417432
16,0,22000,21548,21020.0,16146.333333333334,14965.125,12721.979166666666,2.3296845361341383e-300,968.5973980004349
18,4,22000,21613,21096.5,17612.666666666668,14708.375,11896.520833333334,0.36900446197956943,1131.7139001579494
16,3,22000,21261,17488.5,13587.666666666666,13308.75,11703.3125,1.6411988201811668e-247,1099.019451451042
16,2,22000,21537,21377.5,19630.333333333332,17493.125,14078.541666666666,0.0,805.2266777543225
16,1,22000,21427,21410.5,20330.666666666668,18993.25,14433.041666666666,1.5866021528301778e-56,894.652469093088
19,4,22000,18182,16768.5,15300.0,15007.0,13413.645833333334,3.599994398926239e-204,899.2180380967153
20,4,22000,21866,20271.5,15618.666666666666,14617.875,12521.479166666666,1.5616389096851815e-174,965.9194661495671
17,0,22000,21251,20756.0,16165.333333333334,15295.75,13478.4375,5.835644943386504e-164,914.2853061906823
17,3,22000,21954,21585.5,19871.666666666668,18972.125,13656.145833333334,6.818389948769916e-229,939.3648382098571
17,1,22000,14079,14046.0,13774.333333333334,13609.75,11977.333333333334,3.797297951406835e-192,1021.6519559529346
17,2,22000,21547,20530.0,19234.0,17087.0,13483.145833333334,3.847669365492926e-267,875.0393151666433
18,0,22000,21526,21350.0,20055.666666666668,18405.625,14239.166666666666,1.3086276802095121e-109,871.4513107012892
18,3,22000,21294,21184.0,17499.666666666668,16130.125,13751.770833333334,5.3879781268651484e-126,875.9360286775794
18,1,22000,21724,21597.5,21177.666666666668,18275.5,14517.875,2.652506957631711e-215,865.1518329239572
