instance_number,run_number,n_time_steps,n_time_steps_cv,avg_ts_l2,avg_ts_l5,avg_ts_l10,avg_ts_l50,discounted_return,total_return
47,1,20,7,6.0,4.0,4.0,4.0,0.0,0.0
47,4,20,7,6.0,4.0,4.0,4.0,0.0,0.0
48,0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
48,2,20,7,6.0,4.0,4.0,4.0,0.0,0.0
48,1,20,7,6.0,4.0,4.0,4.0,0.0,0.0
48,4,20,7,6.0,4.0,4.0,4.0,0.0,0.0
48,3,20,7,6.0,4.0,4.0,4.0,0.0,0.0
49,0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
47,3,20,7,6.0,4.0,4.0,4.0,0.0,0.0
49,1,20,7,6.0,4.0,4.0,4.0,0.0,0.0
49,2,20,7,6.0,4.0,4.0,4.0,0.0,0.0
50,0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
50,1,20,7,6.0,4.0,4.0,4.0,0.0,0.0
49,4,20,7,6.0,4.0,4.0,4.0,0.0,0.0
49,3,20,7,6.0,4.0,4.0,4.0,0.0,0.0
50,4,20,7,6.0,4.0,4.0,4.0,0.0,0.0
50,3,20,7,6.0,4.0,4.0,4.0,0.0,0.0
50,2,20,7,6.0,4.0,4.0,4.0,0.0,0.0
51,4,20,7,6.0,4.0,4.0,4.0,0.0,0.0
51,1,20,7,6.0,4.0,4.0,4.0,0.0,0.0
51,2,20,7,6.0,4.0,4.0,4.0,0.0,0.0
51,0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
51,3,20,7,6.0,4.0,4.0,4.0,0.0,0.0
52,2,20,7,6.0,4.0,4.0,4.0,0.0,0.0
52,1,20,7,6.0,4.0,4.0,4.0,0.0,0.0
52,0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
53,1,20,7,6.0,4.0,4.0,4.0,0.0,0.0
53,0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
52,4,20,7,6.0,4.0,4.0,4.0,0.0,0.0
52,3,20,7,6.0,4.0,4.0,4.0,0.0,0.0
53,2,20,7,6.0,4.0,4.0,4.0,0.0,0.0
53,3,20,7,6.0,4.0,4.0,4.0,0.0,0.0
53,4,20,7,6.0,4.0,4.0,4.0,0.0,0.0
54,0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
54,1,20,7,6.0,4.0,4.0,4.0,0.0,0.0
54,2,20,7,6.0,4.0,4.0,4.0,0.0,0.0
54,4,20,7,6.0,4.0,4.0,4.0,0.0,0.0
54,3,20,7,6.0,4.0,4.0,4.0,0.0,0.0
55,0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
55,1,20,7,6.0,4.0,4.0,4.0,0.0,0.0
55,3,20,7,6.0,4.0,4.0,4.0,0.0,0.0
55,2,20,7,6.0,4.0,4.0,4.0,0.0,0.0
55,4,20,7,6.0,4.0,4.0,4.0,0.0,0.0
56,0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
56,1,20,7,6.0,4.0,4.0,4.0,0.0,0.0
56,2,20,7,6.0,4.0,4.0,4.0,0.0,0.0
56,3,20,7,6.0,4.0,4.0,4.0,0.0,0.0
56,4,20,7,6.0,4.0,4.0,4.0,0.0,0.0
57,2,20,7,6.0,4.0,4.0,4.0,0.0,0.0
57,4,20,7,6.0,4.0,4.0,4.0,0.0,0.0
58,2,20,7,6.0,4.0,4.0,4.0,0.0,0.0
58,0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
57,3,20,7,6.0,4.0,4.0,4.0,0.0,0.0
57,1,20,7,6.0,4.0,4.0,4.0,0.0,0.0
57,0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
58,1,20,7,6.0,4.0,4.0,4.0,0.0,0.0
58,4,20,7,6.0,4.0,4.0,4.0,0.0,0.0
59,0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
59,1,20,7,6.0,4.0,4.0,4.0,0.0,0.0
59,4,20,7,6.0,4.0,4.0,4.0,0.0,0.0
59,3,20,7,6.0,4.0,4.0,4.0,0.0,0.0
60,0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
59,2,20,7,6.0,4.0,4.0,4.0,0.0,0.0
60,1,20,7,6.0,4.0,4.0,4.0,0.0,0.0
60,2,20,7,6.0,4.0,4.0,4.0,0.0,0.0
58,3,20,7,6.0,4.0,4.0,4.0,0.0,0.0
60,4,20,7,6.0,4.0,4.0,4.0,0.0,0.0
61,0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
60,3,20,7,6.0,4.0,4.0,4.0,0.0,0.0
61,1,20,7,6.0,4.0,4.0,4.0,0.0,0.0
61,3,20,7,6.0,4.0,4.0,4.0,0.0,0.0
61,4,20,7,6.0,4.0,4.0,4.0,0.0,0.0
62,1,20,7,6.0,4.0,4.0,4.0,0.0,0.0
62,2,20,7,6.0,4.0,4.0,4.0,0.0,0.0
62,3,20,7,6.0,4.0,4.0,4.0,0.0,0.0
62,0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
61,2,20,7,6.0,4.0,4.0,4.0,0.0,0.0
62,4,20,7,6.0,4.0,4.0,4.0,0.0,0.0
63,1,20,7,6.0,4.0,4.0,4.0,0.0,0.0
63,4,20,7,6.0,4.0,4.0,4.0,0.0,0.0
63,3,20,7,6.0,4.0,4.0,4.0,0.0,0.0
63,2,20,7,6.0,4.0,4.0,4.0,0.0,0.0
64,0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
63,0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
64,2,20,7,6.0,4.0,4.0,4.0,0.0,0.0
64,1,20,7,6.0,4.0,4.0,4.0,0.0,0.0
64,3,20,7,6.0,4.0,4.0,4.0,0.0,0.0
64,4,20,7,6.0,4.0,4.0,4.0,0.0,0.0
65,1,20,7,6.0,4.0,4.0,4.0,0.0,0.0
65,0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
65,3,20,7,6.0,4.0,4.0,4.0,0.0,0.0
65,4,20,7,6.0,4.0,4.0,4.0,0.0,0.0
66,1,20,7,6.0,4.0,4.0,4.0,0.0,0.0
66,2,20,7,6.0,4.0,4.0,4.0,0.0,0.0
65,2,20,7,6.0,4.0,4.0,4.0,0.0,0.0
66,4,20,7,6.0,4.0,4.0,4.0,0.0,0.0
67,0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
66,3,20,7,6.0,4.0,4.0,4.0,0.0,0.0
66,0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
67,1,20,7,6.0,4.0,4.0,4.0,0.0,0.0
67,3,20,7,6.0,4.0,4.0,4.0,0.0,0.0
67,2,20,7,6.0,4.0,4.0,4.0,0.0,0.0
67,4,20,7,6.0,4.0,4.0,4.0,0.0,0.0
68,0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
68,3,20,7,6.0,4.0,4.0,4.0,0.0,0.0
68,4,20,7,6.0,4.0,4.0,4.0,0.0,0.0
69,0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
69,1,20,7,6.0,4.0,4.0,4.0,0.0,0.0
68,1,20,7,6.0,4.0,4.0,4.0,0.0,0.0
68,2,20,7,6.0,4.0,4.0,4.0,0.0,0.0
69,2,20,7,6.0,4.0,4.0,4.0,0.0,0.0
69,3,20,7,6.0,4.0,4.0,4.0,0.0,0.0
69,4,20,7,6.0,4.0,4.0,4.0,0.0,0.0
70,1,20,7,6.0,4.0,4.0,4.0,0.0,0.0
70,0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
70,2,20,7,6.0,4.0,4.0,4.0,0.0,0.0
70,3,20,7,6.0,4.0,4.0,4.0,0.0,0.0
71,0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
70,4,20,7,6.0,4.0,4.0,4.0,0.0,0.0
71,2,20,7,6.0,4.0,4.0,4.0,0.0,0.0
71,1,20,7,6.0,4.0,4.0,4.0,0.0,0.0
71,4,20,7,6.0,4.0,4.0,4.0,0.0,0.0
72,1,20,7,6.0,4.0,4.0,4.0,0.0,0.0
72,0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
72,2,20,7,6.0,4.0,4.0,4.0,0.0,0.0
71,3,20,7,6.0,4.0,4.0,4.0,0.0,0.0
72,4,20,7,6.0,4.0,4.0,4.0,0.0,0.0
73,0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
73,1,20,7,6.0,4.0,4.0,4.0,0.0,0.0
73,3,20,7,6.0,4.0,4.0,4.0,0.0,0.0
73,2,20,7,6.0,4.0,4.0,4.0,0.0,0.0
72,3,20,7,6.0,4.0,4.0,4.0,0.0,0.0
73,4,20,7,6.0,4.0,4.0,4.0,0.0,0.0
74,0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
74,1,20,7,6.0,4.0,4.0,4.0,0.0,0.0
74,2,20,7,6.0,4.0,4.0,4.0,0.0,0.0
74,3,20,7,6.0,4.0,4.0,4.0,0.0,0.0
75,0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
74,4,20,7,6.0,4.0,4.0,4.0,0.0,0.0
75,2,20,7,6.0,4.0,4.0,4.0,0.0,0.0
75,4,20,7,6.0,4.0,4.0,4.0,0.0,0.0
75,1,20,7,6.0,4.0,4.0,4.0,0.0,0.0
76,0,20,7,6.0,4.0,4.0,4.0,0.0,0.0
75,3,20,7,6.0,4.0,4.0,4.0,0.0,0.0
76,1,20,7,6.0,4.0,4.0,4.0,0.0,0.0
