instance_number,run_number,prior,ratio_rmax_bound_use,ratio_lip_bound_use,n_time_steps,n_time_steps_cv
16,4,0.0,0.0,1.0,22000,21211
13,3,0.2,0.15125160837524856,0.8487483916247515,22000,12261
12,3,0.2,0.1899060531653678,0.8100939468346322,22000,10008
12,0,1.0,1.0,0.0,22000,13430
12,1,0.8,1.0,0.0,22000,13595
12,2,0.5,0.8979030511620713,0.10209694883792876,22000,13353
13,0,1.0,1.0,0.0,22000,14970
14,0,1.0,1.0,0.0,22000,18325
14,3,0.2,0.16634845008086788,0.8336515499191322,22000,21479
13,2,0.5,0.8758048610708278,0.12419513892917222,22000,13243
13,1,0.8,1.0,0.0,22000,13584
17,4,0.0,0.0,1.0,22000,19571
14,1,0.8,1.0,0.0,22000,13430
15,3,0.2,0.1788123112539898,0.8211876887460102,22000,8399
14,2,0.5,0.8743898895990703,0.1256101104009297,22000,18974
15,0,1.0,1.0,0.0,22000,13485
15,1,0.8,1.0,0.0,22000,14783
15,2,0.5,0.8770786603758991,0.12292133962410086,22000,13144
16,3,0.2,0.1514860692187556,0.8485139307812444,22000,19997
16,1,0.8,1.0,0.0,22000,13353
18,4,0.0,0.0,1.0,22000,17961
16,0,1.0,1.0,0.0,22000,20239
19,4,0.0,0.0,1.0,22000,109
16,2,0.5,0.8571033411787543,0.14289665882124572,22000,13221
17,0,1.0,1.0,0.0,22000,13408
20,4,0.0,0.0,1.0,22000,4239
17,1,0.8,1.0,0.0,22000,13441
17,2,0.5,0.8200191422715496,0.17998085772845043,22000,13221
17,3,0.2,0.1585251966524191,0.841474803347581,22000,21834
21,4,0.0,0.0,1.0,22000,141
18,3,0.2,0.18877335728119624,0.8112266427188037,22000,9942
18,1,0.8,1.0,0.0,22000,17126
22,4,0.0,0.0,1.0,22000,219
18,2,0.5,0.9079438576182897,0.09205614238171032,22000,13353
18,0,1.0,1.0,0.0,22000,13496
19,0,1.0,1.0,0.0,22000,13485
19,3,0.2,0.1923966641913442,0.8076033358086558,22000,10327
19,2,0.5,0.8667499469449964,0.13325005305500356,22000,13276
19,1,0.8,1.0,0.0,22000,13463
20,0,1.0,1.0,0.0,22000,13529
20,3,0.2,0.1727976056019878,0.8272023943980122,22000,20250
20,1,0.8,1.0,0.0,22000,13386
21,3,0.2,0.17383477724186802,0.826165222758132,22000,17401
20,2,0.5,0.9255998994527912,0.07440010054720884,22000,13364
23,4,0.0,0.0,1.0,22000,13430
21,0,1.0,1.0,0.0,22000,13595
21,1,0.8,1.0,0.0,22000,13749
21,2,0.5,0.8511079528974999,0.14889204710250015,22000,13243
24,4,0.0,0.0,1.0,22000,18962
22,3,0.2,0.18234841872214483,0.8176515812778552,22000,8282
22,0,1.0,1.0,0.0,22000,13606
22,1,0.8,1.0,0.0,22000,13584
25,4,0.0,0.0,1.0,22000,109
22,2,0.5,0.8827553246953869,0.11724467530461313,22000,13221
26,4,0.0,0.0,1.0,22000,16488
23,0,1.0,1.0,0.0,22000,13474
23,1,0.8,1.0,0.0,22000,13397
23,2,0.5,0.8587172512250646,0.14128274877493538,22000,13287
23,3,0.2,0.14964988644965935,0.8503501135503406,22000,20360
27,4,0.0,0.0,1.0,22000,109
24,3,0.2,0.1691134806572915,0.8308865193427085,22000,14736
24,1,0.8,1.0,0.0,22000,13617
24,0,1.0,1.0,0.0,22000,13397
24,2,0.5,0.905578318271196,0.09442168172880404,22000,13375
25,3,0.2,0.17829295377744875,0.8217070462225513,22000,8282
28,4,0.0,0.0,1.0,22000,17664
25,0,1.0,1.0,0.0,22000,13540
25,1,0.8,1.0,0.0,22000,13738
25,2,0.5,0.9121283706761483,0.0878716293238517,22000,13221
26,3,0.2,0.22232598384484295,0.7776740161551571,22000,10350
26,2,0.5,0.9135853880570997,0.0864146119429003,22000,13408
26,0,1.0,1.0,0.0,22000,13210
29,4,0.0,0.0,1.0,22000,18743
26,1,0.8,1.0,0.0,22000,13419
27,0,1.0,1.0,0.0,22000,13452
27,3,0.2,0.20729981338980563,0.7927001866101944,22000,10261
27,2,0.5,0.9052453632616287,0.09475463673837121,22000,13221
27,1,0.8,1.0,0.0,22000,13562
30,4,0.0,0.0,1.0,22000,21181
28,0,1.0,1.0,0.0,22000,13595
31,4,0.0,0.0,1.0,22000,109
28,1,0.8,1.0,0.0,22000,13518
28,2,0.5,0.8817353139770425,0.11826468602295746,22000,16059
28,3,0.2,0.20463799833755958,0.7953620016624404,22000,20646
29,3,0.2,0.18731861055686558,0.8126813894431344,22000,18422
32,4,0.0,0.0,1.0,22000,21500
29,0,1.0,1.0,0.0,22000,13386
29,1,0.8,1.0,0.0,22000,13430
29,2,0.5,0.8969400209229339,0.10305997907706614,22000,13243
30,0,1.0,1.0,0.0,22000,13507
33,4,0.0,0.0,1.0,22000,10975
30,3,0.2,0.19285806092283964,0.8071419390771604,22000,10051
30,1,0.8,1.0,0.0,22000,13496
30,2,0.5,0.865943500203028,0.13405649979697198,22000,13309
31,3,0.2,0.1676030955157426,0.8323969044842574,22000,9313
34,4,0.0,0.0,1.0,22000,162
31,0,1.0,1.0,0.0,22000,16103
31,1,0.8,1.0,0.0,22000,13485
31,2,0.5,0.8897509522980838,0.1102490477019162,22000,13254
32,0,1.0,1.0,0.0,22000,13430
32,2,0.5,0.895810177354661,0.104189822645339,22000,13254
32,3,0.2,0.18250535682988744,0.8174946431701126,22000,9074
35,4,0.0,0.0,1.0,22000,634
32,1,0.8,1.0,0.0,22000,13474
33,0,1.0,1.0,0.0,22000,13342
33,3,0.2,0.1745144341460535,0.8254855658539465,22000,8104
33,1,0.8,1.0,0.0,22000,21207
33,2,0.5,0.9163942174169375,0.0836057825830625,22000,13331
36,4,0.0,0.0,1.0,22000,19817
34,0,1.0,1.0,0.0,22000,13507
37,4,0.0,0.0,1.0,22000,219
34,3,0.2,0.16257895934067856,0.8374210406593214,22000,16869
34,2,0.5,0.9053763440860215,0.09462365591397849,22000,13331
34,1,0.8,1.0,0.0,22000,13507
35,3,0.2,0.17098940509118185,0.8290105949088181,22000,8271
38,4,0.0,0.0,1.0,22000,152
35,2,0.5,0.8949295720070525,0.10507042799294751,22000,13320
35,0,1.0,1.0,0.0,22000,13419
35,1,0.8,1.0,0.0,22000,13430
39,4,0.0,0.0,1.0,22000,20600
36,3,0.2,0.16806201733462436,0.8319379826653757,22000,8201
