instance_number,run_number,prior,ratio_rmax_bound_use,ratio_lip_bound_use,n_time_steps,n_time_steps_cv
13,3,0.2,0.16091818449883186,0.8390818155011681,5500,4795
14,2,0.5,0.6796204988926661,0.32037950110733393,5500,4751
14,1,0.8,1.0,0.0,5500,4487
16,4,0.0,0.0,1.0,5500,5448
15,3,0.2,0.13544288319866316,0.8645571168013368,5500,5498
15,0,1.0,1.0,0.0,5500,5466
17,4,0.0,0.0,1.0,5500,5120
15,1,0.8,1.0,0.0,5500,4146
15,2,0.5,0.7021382464298477,0.2978617535701523,5500,4344
16,0,1.0,1.0,0.0,5500,5400
16,1,0.8,1.0,0.0,5500,5224
16,3,0.2,0.15650084902747763,0.8434991509725224,5500,5135
18,4,0.0,0.0,1.0,5500,5139
19,4,0.0,0.0,1.0,5500,4331
16,2,0.5,0.7165209533491472,0.28347904665085283,5500,4597
17,3,0.2,0.1285107295300836,0.8714892704699164,5500,5433
17,0,1.0,1.0,0.0,5500,5433
17,1,0.8,1.0,0.0,5500,5048
17,2,0.5,0.7643599267254638,0.23564007327453618,5500,4388
20,4,0.0,0.0,1.0,5500,5011
18,0,1.0,1.0,0.0,5500,4300
18,3,0.2,0.17222255924937313,0.8277774407506269,5500,5441
18,1,0.8,1.0,0.0,5500,5400
18,2,0.5,0.6813279753496175,0.3186720246503824,5500,4828
21,4,0.0,0.0,1.0,5500,4706
19,3,0.2,0.1617770821952192,0.8382229178047809,5500,5322
19,1,0.8,1.0,0.0,5500,3783
19,0,1.0,1.0,0.0,5500,5268
19,2,0.5,0.7330808196048008,0.2669191803951992,5500,4608
20,0,1.0,1.0,0.0,5500,5235
22,4,0.0,0.0,1.0,5500,4789
20,3,0.2,0.16848340656939623,0.8315165934306038,5500,5289
20,1,0.8,1.0,0.0,5500,3651
20,2,0.5,0.7303404158099155,0.2696595841900845,5500,4498
23,4,0.0,0.0,1.0,5500,5430
21,3,0.2,0.1430713256660074,0.8569286743339927,5500,5477
21,0,1.0,1.0,0.0,5500,3937
21,1,0.8,1.0,0.0,5500,4749
21,2,0.5,0.715484139660688,0.2845158603393119,5500,5026
22,1,0.8,1.0,0.0,5500,4344
24,4,0.0,0.0,1.0,5500,5452
22,0,1.0,1.0,0.0,5500,5422
25,4,0.0,0.0,1.0,5500,5301
22,3,0.2,0.15538192352371266,0.8446180764762873,5500,5015
22,2,0.5,0.7045736154102903,0.2954263845897097,5500,5059
23,0,1.0,1.0,0.0,5500,4960
23,1,0.8,1.0,0.0,5500,4806
26,4,0.0,0.0,1.0,5500,4737
23,2,0.5,0.6747502527069237,0.32524974729307626,5500,3024
23,3,0.2,0.15215006979568899,0.847849930204311,5500,5345
24,0,1.0,1.0,0.0,5500,3926
24,1,0.8,1.0,0.0,5500,2771
24,2,0.5,0.7131394090567283,0.28686059094327165,5500,5367
24,3,0.2,0.17131915893339597,0.828680841066604,5500,4047
25,0,1.0,1.0,0.0,5500,5378
25,3,0.2,0.14200951749894586,0.8579904825010541,5500,5333
25,1,0.8,0.9968476487168076,0.0031523512831924047,5500,4718
27,4,0.0,0.0,1.0,5500,5472
25,2,0.5,0.7611781016837842,0.23882189831621578,5500,3629
26,3,0.2,0.14854888731123791,0.8514511126887621,5500,4850
26,0,1.0,1.0,0.0,5500,5400
26,1,0.8,1.0,0.0,5500,2419
28,4,0.0,0.0,1.0,5500,5463
29,4,0.0,0.0,1.0,5500,5362
26,2,0.5,0.7578285126055827,0.24217148739441732,5500,3266
27,0,1.0,1.0,0.0,5500,5257
27,3,0.2,0.15887619306277645,0.8411238069372236,5500,5466
